Name,Address,Bedroom,Bathroom,Total_area,Price
South Quarter Residence Tipe Studio,"Cilandak, Jakarta Selatan",1,1,30 m²," 1,285,107,825"
Apartemen dengan Akses Strategis South Quarter Residence,"Cilandak, Jakarta Selatan",3,3,117 m²," 5,088,191,630"
Dijual Apartemen Mewah di Jakarta Timur LRT City Ciracas,"Ciracas, Jakarta Timur",2,1,61 m²," 1,480,000,000"
Apartemen yang Mengutamakan Kenyamanan di South Quarter Residence,"Cilandak, Jakarta Selatan",2,2,93 m²," 4,103,912,300"
Tifolia Apartment Tipe 1 Bed Room - Jakarta Timur,"Pulo Gadung, Jakarta Timur",1,1,19 m²," 277,200,000"
The Elements kuningan,"Karet Kuningan, Jakarta Selatan",3,3,186 m²," 6,900,000,000"
Hunian Masa Depan Millenials LRT City Ciracas,"Ciracas, Jakarta Timur",2,1,36 m²," 892,000,000"
Apartemen 2 BR  Konsep Cozy di LRT CIty Ciracas,"Ciracas, Jakarta Timur",2,1,36 m²," 893,000,000"
Regatta Pantai Mutiara Apartment Tipe 2 BR,"Pluit, Jakarta Utara",2,2,115 m²," 3,600,000,000"
test test ghchchcch,Jakarta Selatan,1,1,123456 m²," 1,234,568"
Tifolia Apartment Tipe 2 Bed Room - Jakarta Timur,"Pulo Gadung, Jakarta Timur",2,2,69 m²," 1,283,000,000"
Apartment Tifolia Tipe 2BR,Jakarta Timur,2,2,69 m²," 1,371,753,949"
"FOR SALE Apartemen Permata Hijau Suites, Mewah & Siap Huni","Kebayoran Lama, Jakarta Selatan",2,1,60 m²," 1,800,000,000"
Regatta Pantai Mutiara Apartment Tipe 3 BR,"Pluit, Jakarta Utara",3,2,163 m²," 5,000,000,000"
Hunian Modern Premium di South Quarter Residence,"Cilandak, Jakarta Selatan",2,2,93 m²," 4,104,912,300"
Apartemen di Pusat CBD Rasuna Kuningan The Elements,"Karet Kuningan, Jakarta Selatan",3,2,139 m²," 5,502,000,000"
Jual Apartemen Gading Nias Residence Tower Grand Emerald Kelapa Gading,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 295,000,000"
Tifolia Tipe 1 BR,"Pulo Gadung, Jakarta Timur",1,1,19 m²," 276,210,000"
"Harga miring Apt ST MORITZ Twr New Presidential 120m2(2BR+1),Lt30an,","Kembangan, Jakarta Barat",2,2,120 m²," 3,000,000,000"
Apartment Double Glazed Windows South Quarter Residence,"Cilandak, Jakarta Selatan",2,2,86 m²," 3,725,637,590"
Apartemen Bergaya Klasik di LRT City Ciracas,"Ciracas, Jakarta Timur",2,1,61 m²," 1,479,000,000"
Hunian Modern Klasik Murah di LRT City Ciracas,"Ciracas, Jakarta Timur",1,1,24 m²," 627,000,000"
Apartemen dengan Konsep TOD LRT City Ciracas,"Ciracas, Jakarta Timur",1,1,24 m²," 626,000,000"
Tifolia Tipe 2 BR,"Pulo Gadung, Jakarta Timur",2,2,69 m²," 1,284,211,579"
Apartment Tifolia Tipe 1BR,Jakarta Timur,1,1,19 m²," 277,000,000"
Apartemen dengan Konsep TOD LRT City Ciracas,"Ciracas, Jakarta Timur",1,1,24 m²," 626,000,000"
Apartemen 1BR Full Furnish Di Kemayoran,"Pademangan, Jakarta Utara",1,1,29 m²," 700,000,000"
Jual Cepat Apt Studio Sumber  Passive Income,"Sunter, Jakarta Utara",1,1,21 m²," 270,000,000"
Apartemen Ancol Mansion,"Ancol, Jakarta Utara",3,3,193 m²," 2,900,000,000"
"Royal Tower lantai 12 TERMURAH (88 sqm, 2 kamar) St Moritz Puri indah, Jakarta","Puri Indah, Jakarta Barat",2,2,88 m²," 1,900,000,000"
PAKUBUWONO TOWNHOUSE LUXURIOUS MODERN DESIGN,"Kebayoran Baru, Jakarta Selatan",4,5,518 m²," 19,000,000,000"
New Apartment mewah Jakarta Selatan,"TB Simatupang, Jakarta Selatan",3,3,121 m²," 1,500,000,000"
Unit 3 Kamar di Kawasan Perumahan Siap Nego Sampai Deal,"Kembangan, Jakarta Barat",3,2,72 m²," 750,000,000"
"Jual Apartemen Bassura City, 2Br,KPA","Jatinegara, Jakarta Timur",2,1,34 m²," 495,000,000"
Casa Grande Phase II - Tower Bella,"Tebet, Jakarta Selatan",2,1,88 m²," 2,700,000,000"
Brand New Studio Apartment in West Jakarta is Offered to New Owner,"Cengkareng Barat, Jakarta Barat",1,1,28 m²," 975,000,000"
Apartemen Studio di Lenteng Agung Ditawarkan untuk Pemilik Baru,"Lenteng Agung, Jakarta Selatan",1,1,22 m²," 575,000,000"
Apartemen mewah daan mogot lokasi strategis di Jakarta barat,Jakarta Barat,1,1,136 m²," 725,000,000"
APARTEMEN MEDITERANIA ANCOL DIJUAL 2 KAMAR FURNISH,"Ancol, Jakarta Utara",2,1,48 m²," 385,000,000"
Apartemen Taman Rasuna 75sqm 2br,"SetiaBudi, Jakarta Selatan",2,1,75 m²," 1,400,000,000"
Apartemen Amethyst Tower,"Sawah Besar, Jakarta Pusat",1,1,75 m²," 470,000,000"
